 s_normalize ; s_total_pro ; s_win_rate  ; s_num_trade ; s_max_drawd ; s_max_winni ; p_fast_peri ; p_slow_peri ; p_buffer_si ; p_slope_thr ; p_tp_pct    ; p_sl_pct    ; p_warmup_co
 0.58        ; 248.26      ; 0.76        ; 29.00       ; 3.16        ; 12.00       ; 50.00       ; 150.00      ; 2.00        ; 1.00        ; 1.50        ; 1.50        ; 150.00     
 0.52        ; -67.73      ; 0.48        ; 90.00       ; 23.51       ; 12.00       ; 21.00       ; 75.00       ; 2.00        ; 0.00        ; 1.50        ; 1.50        ; 75.00      
 0.50        ; -147.59     ; 0.44        ; 86.00       ; 29.12       ; 12.00       ; 21.00       ; 75.00       ; 2.00        ; 0.50        ; 1.50        ; 1.50        ; 75.00      
 0.50        ; -68.36      ; 0.48        ; 96.00       ; 22.41       ; 11.00       ; 14.00       ; 75.00       ; 2.00        ; 0.00        ; 1.50        ; 1.50        ; 75.00      
 0.48        ; -107.05     ; 0.45        ; 73.00       ; 24.54       ; 11.00       ; 21.00       ; 75.00       ; 2.00        ; 1.00        ; 1.50        ; 1.50        ; 75.00      
 0.47        ; -81.92      ; 0.47        ; 93.00       ; 22.39       ; 10.00       ; 14.00       ; 75.00       ; 2.00        ; 0.50        ; 1.50        ; 1.50        ; 75.00      
 0.46        ; -108.85     ; 0.46        ; 91.00       ; 26.95       ; 10.00       ; 8.00        ; 100.00      ; 2.00        ; 0.00        ; 1.50        ; 1.50        ; 100.00     
 0.46        ; -51.19      ; 0.48        ; 67.00       ; 19.74       ; 10.00       ; 21.00       ; 150.00      ; 2.00        ; 1.00        ; 1.50        ; 1.50        ; 150.00     
 0.46        ; -122.02     ; 0.46        ; 90.00       ; 28.05       ; 10.00       ; 8.00        ; 100.00      ; 2.00        ; 0.50        ; 1.50        ; 1.50        ; 100.00     
 0.46        ; 21.22       ; 0.51        ; 80.00       ; 13.32       ; 9.00        ; 50.00       ; 75.00       ; 2.00        ; 0.00        ; 1.50        ; 1.50        ; 75.00      
 0.45        ; -120.64     ; 0.45        ; 76.00       ; 25.73       ; 10.00       ; 21.00       ; 150.00      ; 2.00        ; 0.00        ; 1.50        ; 1.50        ; 150.00     
