timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-01 00:00:00,4392.78,4392.78,4376.5,4377.6,514.7581,1756685099999,2257110.80781700,2088,124.42350000,545695.78920300,0
2025-09-01 00:05:00,4377.6,4398.63,4372.86,4390.16,1171.9832,1756685399999,5139464.01431300,3558,654.49120000,2870321.97449600,0
2025-09-01 00:10:00,4389.9,4394.4,4386.6,4387.82,285.0745,1756685699999,1251694.21151500,2023,130.45920000,572768.14488600,0
2025-09-01 00:15:00,4387.88,4395.2,4386.61,4392.69,286.6095,1756685999999,1258365.37163500,1853,181.47420000,796621.42868900,0
2025-09-01 00:20:00,4392.63,4393.84,4379.07,4381.33,577.8136,1756686299999,2533533.88461500,2137,219.18340000,961150.53757600,0
2025-09-01 00:25:00,4381.6,4383.69,4365.51,4375.7,1703.0986,1756686599999,7449449.96069000,4428,779.48230000,3409154.09639300,0
2025-09-01 00:30:00,4375.5,4380.92,4366.41,4368.9,796.8038,1756686899999,3484913.43265000,2743,242.03940000,1059023.71384400,0
2025-09-01 00:35:00,4369.06,4374.8,4360.77,4371.9,684.1484,1756687199999,2988067.82814300,2707,326.72430000,1427073.65537000,0
2025-09-01 00:40:00,4371.9,4402.23,4370.93,4396.89,1280.4525,1756687499999,5624725.74841200,4250,735.89120000,3232064.64761400,0
2025-09-01 00:45:00,4396.89,4411.95,4394.11,4399.29,561.9912,1756687799999,2474704.70665100,3384,236.25590000,1040144.05761400,0
2025-09-01 00:50:00,4399.5,4405.59,4390.05,4402.18,554.0128,1756688099999,2436649.87329400,2309,282.68430000,1243136.82255200,0
2025-09-01 00:55:00,4402.02,4405.79,4391.61,4397.23,465.6658,1756688399999,2047812.00848200,1782,319.21560000,1403623.87697400,0
2025-09-01 01:00:00,4397.5,4408.58,4392.36,4400.61,448.4117,1756688699999,1972727.54578900,2433,207.33230000,912094.63157000,0
2025-09-01 01:05:00,4400.61,4406.04,4387.98,4389.44,555.0928,1756688999999,2440035.25196600,2358,272.13250000,1196149.39759700,0
2025-09-01 01:10:00,4388.94,4395.64,4384.46,4394.5,400.1025,1756689299999,1756118.87346100,2112,182.88050000,802710.24787200,0
2025-09-01 01:15:00,4394.51,4404.93,4384.81,4398.0,480.1346,1756689599999,2111160.36400500,2192,201.59870000,885708.13281300,0
2025-09-01 01:20:00,4397.6,4407.19,4394.46,4400.1,614.7301,1756689899999,2706241.35633800,2040,382.46810000,1683604.33933700,0
2025-09-01 01:25:00,4399.91,4410.8,4397.86,4409.16,361.5658,1756690199999,1593228.98853000,1555,124.91360000,550510.48321300,0
2025-09-01 01:30:00,4408.82,4416.0,4402.71,4412.3,687.9589,1756690499999,3033396.73929700,2687,350.57890000,1545724.95482100,0
2025-09-01 01:35:00,4412.35,4424.7,4408.61,4420.39,1025.2197,1756690799999,4529426.94004900,3256,636.59670000,2812629.90698200,0
2025-09-01 01:40:00,4420.37,4427.36,4415.18,4426.42,463.4673,1756691099999,2049458.17465800,1721,161.33290000,713472.68252900,0
2025-09-01 01:45:00,4426.19,4433.19,4419.51,4420.2,568.8898,1756691399999,2518124.70148500,2944,239.72350000,1060978.33675300,0
2025-09-01 01:50:00,4420.19,4422.65,4409.27,4410.81,680.273,1756691699999,3003452.63212200,2426,251.95660000,1112032.00008700,0
2025-09-01 01:55:00,4411.19,4420.29,4410.69,4418.4,201.4779,1756691999999,889896.86466000,1298,60.88220000,268874.41278700,0
2025-09-01 02:00:00,4418.23,4420.89,4410.07,4410.52,496.7201,1756692299999,2193488.55524000,2019,161.37830000,712503.28575000,0
2025-09-01 02:05:00,4410.42,4416.99,4408.01,4412.2,295.0981,1756692599999,1301848.57236700,1379,136.15600000,600646.38350300,0
2025-09-01 02:10:00,4412.1,4412.1,4393.22,4398.49,930.6219,1756692899999,4095321.55706700,2609,234.92000000,1033697.56454300,0
2025-09-01 02:15:00,4398.39,4400.48,4390.58,4395.46,487.103,1756693199999,2140513.82229800,2028,256.60240000,1127515.88973000,0
2025-09-01 02:20:00,4395.24,4400.98,4389.2,4390.61,403.7811,1756693499999,1774187.06322900,2156,253.14710000,1112279.72438700,0
2025-09-01 02:25:00,4390.72,4397.89,4378.0,4392.91,911.2245,1756693799999,3998227.11077100,3203,424.90290000,1864359.12540400,0
2025-09-01 02:30:00,4393.44,4394.88,4375.88,4376.69,978.5089,1756694099999,4289068.30472200,2772,326.71200000,1431799.59530700,0
2025-09-01 02:35:00,4376.67,4388.97,4370.4,4383.5,661.9166,1756694399999,2898549.95814900,2798,286.24140000,1253227.60304300,0
2025-09-01 02:40:00,4383.69,4384.95,4377.11,4379.6,315.8899,1756694699999,1383823.16832100,1527,77.94950000,341497.43290500,0
